composition,structure,total_magnetization,volume,mag_per_volume
Al2Fe9Co9(SiNi3)3,"Full Formula (Al2 Fe9 Co9 Si3 Ni9)
Reduced Formula: Al2Fe9Co9(SiNi3)3
abc   :   7.265653   7.054177   7.048887
angles:  90.114215  89.840925  90.471198
pbc   :       True       True       True
Sites (32)
  #  SP           a         b         c      magmom
---  ----  --------  --------  --------  --------
  0  Al    0.245434  0.259066  0.983054   -0.041
  1  Al    0.74686   0.748368  0.498318   -0.053
  2  Si    0.51384   0.999084  0.002676   -0.043
  3  Si    0.972854  0.250913  0.241476   -0.052
  4  Si    0.266093  0.253829  0.525317   -0.062
  5  Fe    0.509058  0.497947  0.002351   2.491
  6  Fe    0.00436   0.008229  0.499781   2.362
  7  Fe    0.497338  3e-05     0.499459   2.441
  8  Fe    0.001359  0.492487  0.49762   2.417
  9  Fe    0.000564  0.750086  0.248298   2.477
 10  Fe    0.00519   0.750325  0.749826   2.528
 11  Fe    0.497053  0.747863  0.754048   2.466
 12  Fe    0.245169  0.026245  0.257215   2.058
 13  Fe    0.250454  0.749161  0.016277   2.526
 14  Ni    0.000384  0.002301  0.001472   0.374
 15  Ni    0.498331  0.498342  0.498783   0.447
 16  Ni    0.999791  0.251551  0.744486   0.383
 17  Ni    0.747006  0.996527  0.247812   0.274
 18  Ni    0.255545  0.994483  0.75707   0.293
 19  Ni    0.25253   0.506548  0.748147   0.337
 20  Ni    0.75136   0.498388  0.746861   0.432
 21  Ni    0.751184  0.252126  0.995648   0.421
 22  Ni    0.74786   0.248994  0.496105   0.504
 23  Co    0.993242  0.509658  0.998893   1.372
 24  Co    0.502461  0.246164  0.244369   1.362
 25  Co    0.49172   0.74488   0.247023   1.444
 26  Co    0.509852  0.246587  0.751513   1.065
 27  Co    0.242766  0.473522  0.259514   1.122
 28  Co    0.747038  0.501233  0.248245   1.261
 29  Co    0.750837  0.000587  0.74991   1.292
 30  Co    0.753589  0.748594  0.996243   1.484
 31  Co    0.248879  0.745882  0.49219   1.619",36.998,361.2637202,0.102412719
Al7Fe6Co7(CuNi)6,"Full Formula (Al7 Fe6 Co7 Cu6 Ni6)
Reduced Formula: Al7Fe6Co7(CuNi)6
abc   :   7.245944   7.145252   7.313787
angles:  90.065828  90.359407  90.241332
pbc   :       True       True       True
Sites (32)
  #  SP            a          b         c      magmom
---  ----  ---------  ---------  --------  --------
  0  Al     0.993566   0.988913  0.995979   -0.022
  1  Al     0.004082   0.51834   0.48919   -0.025
  2  Al     0.494865   0.506481  0.496245   -0.025
  3  Al     0.992709   0.256163  0.750406   -0.026
  4  Al     0.255018   0.001559  0.260135   -0.044
  5  Al     0.74539    0.987498  0.258901   -0.042
  6  Al     0.256016   0.99305   0.738307   -0.034
  7  Fe     0.497176   0.488935  0.002362   2.633
  8  Fe     0.5083    -0.002969  0.501172   2.425
  9  Fe     0.997876   0.251735  0.245758   2.396
 10  Fe     0.504082   0.250937  0.249606   2.376
 11  Fe     0.248918   0.739439  0.00641   2.322
 12  Fe     0.750515   0.255425  0.499034   2.216
 13  Ni     0.495627   0.748585  0.246249   0.227
 14  Ni    -0.000148   0.749938  0.74996   0.304
 15  Ni     0.249029   0.49782   0.245992   0.458
 16  Ni     0.753772   0.002203  0.746924   0.358
 17  Ni     0.244814   0.250764  0.502511   0.107
 18  Ni     0.749763   0.747367  0.507925   0.215
 19  Co     0.002291   0.502586  0.003063   1.530
 20  Co     0.988951   0.000814  0.500979   1.311
 21  Co     0.010351   0.758326  0.245275   1.028
 22  Co     0.75599    0.496685  0.754755   1.381
 23  Co     0.240224   0.246183  0.001989   0.981
 24  Co     0.752418   0.250542  0.009427   1.206
 25  Co     0.253608   0.75607   0.495003   0.948
 26  Cu     0.500121   0.001267  0.997185   0.015
 27  Cu     0.502473   0.250382  0.750168   0.009
 28  Cu     0.505324   0.745328  0.75361   0.026
 29  Cu     0.75211    0.510008  0.246796   0.048
 30  Cu     0.248193   0.502763  0.750806   0.024
 31  Cu     0.746575   0.746864  0.99788   0.005",24.329,378.6536388,0.06425133
MnFe10Co10SiNi10,"Full Formula (Mn1 Fe10 Co10 Si1 Ni10)
Reduced Formula: MnFe10Co10SiNi10
abc   :   7.113724   7.092859   7.102628
angles:  90.039503  90.003324  90.104405
pbc   :       True       True       True
Sites (32)
  #  SP            a          b          c      magmom
---  ----  ---------  ---------  ---------  --------
  0  Si     0.504059   0.248369   0.753634   -0.057
  1  Mn    -0.001717   0.500328   0.500781   -3.023
  2  Fe     0.499955   0.500142   0.501509   2.462
  3  Fe     0.500606   0.246054   0.24843   2.509
  4  Fe    -0.001994   0.751864   0.246225   2.480
  5  Fe     0.502014   0.752522   0.245496   2.528
  6  Fe     0.246289   0.002321   0.24789   2.511
  7  Fe     0.24733    0.495961   0.245144   2.439
  8  Fe     0.249905  -0.005643   0.753563   2.555
  9  Fe     0.754146   0.249199   0.004596   2.545
 10  Fe     0.246989   0.249768   0.507456   2.324
 11  Fe     0.750856   0.756229   0.504174   2.568
 12  Ni    -0.000507  -0.000372  -0.001951   0.602
 13  Ni    -0.001758   0.5009    -0.002211   0.573
 14  Ni     0.500013   0.001266   0.500912   0.526
 15  Ni    -0.000629   0.750199   0.751976   0.498
 16  Ni     0.502024   0.749081   0.751222   0.589
 17  Ni     0.750357   0.50216    0.249436   0.509
 18  Ni     0.749139   0.004135   0.751139   0.497
 19  Ni     0.251509   0.500836   0.752762   0.488
 20  Ni     0.747615   0.495863   0.750173   0.420
 21  Ni     0.250507   0.750689   0.496823   0.489
 22  Co     0.50149   -0.002489  -0.00215   1.454
 23  Co     0.502138   0.502698  -0.002244   1.485
 24  Co    -0.001665   0.001458   0.503035   1.562
 25  Co     0.00105    0.247628   0.249712   1.512
 26  Co    -0.002019   0.251077   0.750269   1.479
 27  Co     0.753872  -0.000464   0.250918   1.543
 28  Co     0.246941   0.251875  -0.005583   1.493
 29  Co     0.250848   0.746435   0.004637   1.583
 30  Co     0.748586   0.751753  -0.00364   1.667
 31  Co     0.752055   0.248157   0.495867   1.417",42.226,358.3740725,0.117826604
Cr2Fe10Co9Si2Ni9,"Full Formula (Cr2 Fe10 Co9 Si2 Ni9)
Reduced Formula: Cr2Fe10Co9Si2Ni9
abc   :   7.090448   7.088424   7.125148
angles:  90.169811  89.847816  89.984296
pbc   :       True       True       True
Sites (32)
  #  SP            a          b          c      magmom
---  ----  ---------  ---------  ---------  --------
  0  Si     0.007677   0.494702   0.00998   -0.048
  1  Si     0.744114   0.247519   0.489458   -0.041
  2  Cr     0.248203   0.000562   0.247455   -2.225
  3  Cr     0.744979   0.503215   0.75203   -1.910
  4  Fe     0.000339   0.003922   0.000875   2.385
  5  Fe     0.504281   0.004635   0.002489   2.408
  6  Fe    -0.000919   4.1e-05    0.501347   2.294
  7  Fe     0.000945   0.749009   0.251898   2.253
  8  Fe    -0.002302   0.255827   0.748709   2.164
  9  Fe    -9.7e-05    0.741006   0.751507   2.292
 10  Fe     0.747127   0.504064   0.246883   2.541
 11  Fe     0.745727  -0.000764   0.747316   2.542
 12  Fe     0.258122   0.747971  -0.001248   2.408
 13  Fe     0.25416    0.253999   0.500863   2.529
 14  Ni     0.498203   0.498915  -0.001445   0.454
 15  Ni     0.499677  -0.001645   0.499619   0.467
 16  Ni     0.501903   0.500977   0.501231   0.386
 17  Ni    -0.001442   0.25075    0.252218   0.324
 18  Ni     0.502242   0.25184    0.250441   0.338
 19  Ni     0.498016   0.751001   0.251606   0.483
 20  Ni     0.250789   0.499139   0.249796   0.516
 21  Ni     0.253243   0.00095    0.748787   0.641
 22  Ni     0.749418   0.749365   0.500398   0.442
 23  Co    -0.003847   0.501158   0.50025   1.255
 24  Co     0.503721   0.25082    0.75129   1.267
 25  Co     0.49743    0.749551   0.750128   1.456
 26  Co     0.751014  -0.002943   0.249219   1.513
 27  Co     0.251552   0.498472   0.750966   1.575
 28  Co     0.252454   0.24927   -0.004486   1.320
 29  Co     0.752422   0.252486  -0.001001   1.192
 30  Co     0.746194   0.746393  -6.9e-05   1.297
 31  Co     0.244656   0.747794   0.50149   1.521",36.04,358.1078134,0.100640083
AlFe10Co10SiNi10,"Full Formula (Al1 Fe10 Co10 Si1 Ni10)
Reduced Formula: AlFe10Co10SiNi10
abc   :   7.091581   7.143507   7.112570
angles:  90.198359  89.742212  90.121820
pbc   :       True       True       True
Sites (32)
  #  SP            a          b          c      magmom
---  ----  ---------  ---------  ---------  --------
  0  Al     0.248243   0.748338   0.003266   -0.057
  1  Si     0.745713   0.252399   0.492571   -0.069
  2  Fe     0.505589   0.007221   0.003271   2.562
  3  Fe     0.502544   0.492902   0.001783   2.619
  4  Fe    -0.002756   0.007332   0.493827   2.478
  5  Fe     0.496232   0.501602   0.501003   2.505
  6  Fe     0.507064   0.751886   0.253938   2.465
  7  Fe    -0.001919   0.747103   0.747117   2.527
  8  Fe     0.248788   0.004708   0.74753   2.550
  9  Fe     0.74668    0.001812   0.748387   2.497
 10  Fe     0.752027   0.497356   0.750846   2.499
 11  Fe     0.250031   0.749502   0.497314   2.462
 12  Ni    -0.001974   0.49966    0.002586   0.544
 13  Ni    -0.000858   0.494119   0.498591   0.519
 14  Ni     0.499936   0.249698   0.254159   0.484
 15  Ni     0.501395   0.251263   0.746772   0.527
 16  Ni     0.501027   0.750321   0.751629   0.519
 17  Ni     0.250211   0.00294    0.24936   0.558
 18  Ni     0.752487   0.497358   0.251727   0.527
 19  Ni     0.247078   0.497872   0.749768   0.525
 20  Ni     0.247571   0.250419  -0.000592   0.580
 21  Ni     0.249972   0.250161   0.498237   0.605
 22  Co    -0.002882   0.002802   0.001651   1.586
 23  Co     0.498312  -0.002186   0.499454   1.520
 24  Co     0.001177   0.247334   0.244829   1.535
 25  Co    -0.007254   0.748535   0.254088   1.585
 26  Co    -0.000847   0.250891   0.74918   1.561
 27  Co     0.753091   0.003297   0.249209   1.483
 28  Co     0.251827   0.498266   0.252007   1.499
 29  Co     0.752194   0.249055   0.002879   1.534
 30  Co     0.755262   0.749464   0.003989   1.574
 31  Co     0.754039   0.746568   0.499626   1.575",45.88,360.3073573,0.127335729
Ti2Fe10Co9Cu2Ni9,"Full Formula (Ti2 Fe10 Co9 Cu2 Ni9)
Reduced Formula: Ti2Fe10Co9Cu2Ni9
abc   :   7.167370   7.182970   7.160474
angles:  89.836709  89.841421  90.082361
pbc   :       True       True       True
Sites (32)
  #  SP            a          b          c      magmom
---  ----  ---------  ---------  ---------  --------
  0  Ti     0.484522   0.75688    0.265819   -0.629
  1  Ti     0.753714   0.751531  -0.01723   -0.636
  2  Fe     0.01091    0.008015   0.002256   2.570
  3  Fe     0.006406   0.492955  -0.002978   2.583
  4  Fe     0.007063   0.501274   0.504011   2.638
  5  Fe     0.493067   0.488098   0.506741   2.539
  6  Fe     0.747555   0.497602   0.255542   2.414
  7  Fe     0.250958   0.002046   0.742895   2.524
  8  Fe     0.75015    0.010855   0.745845   2.375
  9  Fe     0.252682   0.749651  -0.005573   2.464
 10  Fe     0.753015   0.243882   0.500162   2.546
 11  Fe     0.753193   0.754409   0.506155   2.481
 12  Ni     0.499272   0.502867  -4e-05   0.405
 13  Ni     0.497706   0.248271   0.250872   0.578
 14  Ni     0.004853   0.248632   0.748951   0.561
 15  Ni     0.005284   0.749806   0.748047   0.472
 16  Ni     0.248249   0.005914   0.253138   0.455
 17  Ni     0.750241  -0.00141    0.249894   0.383
 18  Ni     0.249687   0.494647   0.248631   0.490
 19  Ni     0.24969    0.500164   0.750804   0.576
 20  Ni     0.248263   0.248675   0.501852   0.601
 21  Co     0.492433   0.000717  -0.004626   1.388
 22  Co    -0.001217  -0.007274   0.499047   1.552
 23  Co     0.49982    0.012443   0.507653   1.460
 24  Co     0.007338   0.750642   0.250575   1.478
 25  Co     0.495409   0.251771   0.753324   1.623
 26  Co     0.494429   0.747398   0.739068   1.432
 27  Co     0.74802    0.490774   0.742444   1.470
 28  Co     0.253573   0.248945  -0.000622   1.630
 29  Co     0.244305   0.749847   0.501468   1.386
 30  Cu     0.001813   0.249644   0.25382   0.066
 31  Cu     0.747599   0.250329   0.002058   0.078",41.953,368.6394152,0.113804977
Mn2Fe10Co9Si2Ni9,"Full Formula (Mn2 Fe10 Co9 Si2 Ni9)
Reduced Formula: Mn2Fe10Co9Si2Ni9
abc   :   7.113899   7.116287   7.048915
angles:  89.980961  90.044178  90.001722
pbc   :       True       True       True
Sites (32)
  #  SP            a          b          c      magmom
---  ----  ---------  ---------  ---------  --------
  0  Si     0.506347   0.505372   0.492628   -0.026
  1  Si     0.245057   0.00494    0.248912   -0.051
  2  Mn     0.506771   0.247975   0.745013   -2.311
  3  Mn     0.743772   0.246694   0.503531   -2.455
  4  Fe     0.498982  -0.001653  -0.00242   2.356
  5  Fe    -0.001745   0.500463   0.004807   2.495
  6  Fe     0.50109    0.50268    0.002699   2.468
  7  Fe    -0.00533    0.248202   0.748076   2.406
  8  Fe     0.7524    -0.001304   0.255917   2.433
  9  Fe     0.251166   0.496789   0.744059   2.229
 10  Fe     0.748537   0.249118   0.001998   2.405
 11  Fe     0.248049   0.74879    0.002261   2.480
 12  Fe     0.251882   0.250361   0.500235   2.306
 13  Fe     0.248355   0.750913   0.497012   2.420
 14  Ni     0.000938  -0.000777   0.000871   0.496
 15  Ni     0.001149   0.000595   0.500098   0.404
 16  Ni     0.498602  -0.00116    0.499923   0.339
 17  Ni    -0.003425   0.49898    0.500114   0.474
 18  Ni    -0.00043    0.249028   0.251991   0.402
 19  Ni     0.500189   0.748323   0.745609   0.491
 20  Ni     0.747474   0.50005    0.253738   0.382
 21  Ni     0.751005   0.502317   0.749484   0.283
 22  Ni     0.752265   0.751993  -0.000561   0.594
 23  Co     0.500076   0.246533   0.249997   1.161
 24  Co    -0.003764   0.747598   0.251573   1.449
 25  Co     0.500718   0.75235    0.25072   1.337
 26  Co     0.003232   0.750458   0.750425   1.611
 27  Co     0.249209   0.498341   0.254615   1.365
 28  Co     0.250576  -0.0002     0.751179   1.448
 29  Co     0.753385  -0.002798   0.747953   1.365
 30  Co     0.248352   0.254716  -0.001448   1.454
 31  Co     0.755116   0.754313   0.49899   1.531",35.742,356.8480026,0.100160292
Al5Fe4Co5(Cu2Ni7)2,"Full Formula (Al5 Fe4 Co5 Cu4 Ni14)
Reduced Formula: Al5Fe4Co5(Cu2Ni7)2
abc   :   7.157038   7.240187   7.121735
angles:  90.222063  90.073993  90.109588
pbc   :       True       True       True
Sites (32)
  #  SP            a          b          c      magmom
---  ----  ---------  ---------  ---------  --------
  0  Al    -0.009674  -0.008739  -0.015411   -0.029
  1  Al    -0.010562   0.509565  -0.008359   -0.025
  2  Al     0.497737   0.501159   0.50134   -0.025
  3  Al     0.257631  -0.004504   0.268914   -0.020
  4  Al     0.265666   0.258951  -0.012052   -0.020
  5  Fe     0.507232  -0.006551  -0.007166   2.470
  6  Fe    -0.007037   0.745096   0.259049   2.513
  7  Fe     0.507379   0.745678   0.247441   2.498
  8  Fe     0.74442   -0.001299   0.254919   2.594
  9  Ni    -0.000855  -0.001136   0.502197   0.484
 10  Ni     0.503452  -0.006214   0.502934   0.554
 11  Ni     0.003373   0.50185    0.502506   0.505
 12  Ni     0.495715   0.244694   0.251422   0.320
 13  Ni     0.000921   0.24867    0.756775   0.217
 14  Ni    -0.000184   0.752422   0.743256   0.312
 15  Ni     0.49705    0.751397   0.749578   0.345
 16  Ni     0.750754   0.500189   0.251359   0.353
 17  Ni     0.247035   0.504836   0.751773   0.169
 18  Ni     0.751496   0.504262   0.746454   0.185
 19  Ni     0.74699    0.24448    0.002096   0.371
 20  Ni     0.247541   0.759391   0.005157   0.350
 21  Ni     0.24971    0.749579   0.501316   0.363
 22  Ni     0.748564   0.750637   0.500996   0.458
 23  Co     0.245457   0.504767   0.250466   1.223
 24  Co     0.254402  -0.001086   0.746688   1.369
 25  Co     0.745112  -0.007887   0.747936   1.457
 26  Co     0.74367    0.755022   0.000227   1.353
 27  Co     0.242344   0.253602   0.509068   1.484
 28  Cu     0.505556   0.503101  -0.002354   0.037
 29  Cu     0.004022   0.247494   0.247103   0.013
 30  Cu     0.5083     0.249926   0.743294   0.023
 31  Cu     0.756782   0.250648   0.501079   0.025",21.926,369.0323964,0.059414838
Mn2Fe9Co9Si3Ni9,"Full Formula (Mn2 Fe9 Co9 Si3 Ni9)
Reduced Formula: Mn2Fe9Co9(SiNi3)3
abc   :   7.038341   7.135894   7.110013
angles:  90.467871  90.215214  89.820670
pbc   :       True       True       True
Sites (32)
  #  SP            a          b          c      magmom
---  ----  ---------  ---------  ---------  --------
  0  Si     0.50376    0.009676  -0.002879   -0.048
  1  Si     0.495321   0.734083   0.257364   -0.052
  2  Si     0.240257   0.500498   0.754645   -0.035
  3  Mn     0.49761    0.246867   0.741891   -2.567
  4  Mn     0.753196   0.507108   0.750432   -2.717
  5  Fe     0.000215   0.246276   0.245775   2.501
  6  Fe     0.498505   0.751899   0.750956   2.231
  7  Fe     0.251149   0.004145   0.251492   2.390
  8  Fe     0.751352   0.497305   0.248177   2.373
  9  Fe     0.246803   0.004131   0.746638   2.342
 10  Fe     0.751586   0.749386   0.002435   2.316
 11  Fe     0.750202   0.247737   0.50073   2.433
 12  Fe     0.245006   0.745457   0.499074   2.355
 13  Fe     0.758133   0.752637   0.499382   2.468
 14  Ni    -0.000306   0.00087    0.00027   0.474
 15  Ni     0.496724   0.497777  -0.004601   0.243
 16  Ni     0.501385  -0.003222   0.495927   0.392
 17  Ni     0.001309   0.750393   0.250496   0.594
 18  Ni     0.000686   0.25333    0.750998   0.437
 19  Ni     0.002564   0.748695   0.751352   0.376
 20  Ni     0.742753  -0.004396   0.24342   0.434
 21  Ni     0.751822   0.000308   0.751557   0.362
 22  Ni     0.25957    0.756073   0.005892   0.307
 23  Co     0.001773   0.501162   0.004359   1.325
 24  Co     0.000478   0.00164    0.500553   1.454
 25  Co    -0.001187   0.496822   0.500359   1.281
 26  Co     0.497524   0.498854   0.506895   0.993
 27  Co     0.500927   0.253485   0.250548   1.484
 28  Co     0.245942   0.494747   0.250783   1.468
 29  Co     0.253269   0.247994  -0.000122   0.879
 30  Co     0.752451   0.256022   3.4e-05   1.202
 31  Co     0.249223   0.252239   0.495166   1.237",30.932,357.0832341,0.086624061
AlFe15Co8SiNi7,"Full Formula (Al1 Fe15 Co8 Si1 Ni7)
Reduced Formula: AlFe15Co8SiNi7
abc   :   7.977943   7.979878   5.740641
angles:  89.982169  89.992841  89.665965
pbc   :       True       True       True
Sites (32)
  #  SP            a          b          c      magmom
---  ----  ---------  ---------  ---------  --------
  0  Al     0.251498   0.763813   0.500341   -0.044
  1  Si     0.504585   0.502469   0.502981   -0.048
  2  Fe    -0.001837  -0.006913  -0.005319   2.631
  3  Fe     0.501388   0.001035   0.005954   2.700
  4  Fe     0.000105  -0.00648    0.506351   2.611
  5  Fe     0.000798   0.496171   0.495801   2.658
  6  Fe     0.497882   0.256833   0.242695   2.354
  7  Fe    -0.001573   0.746548   0.24603   2.353
  8  Fe    -3e-06      0.246123   0.748799   2.476
  9  Fe     0.745444   0.001843   0.750641   2.380
 10  Fe     0.250385   0.498169   0.750106   2.325
 11  Fe     0.750872   0.497932   0.752379   2.302
 12  Fe     0.75234    0.253413   0.003216   2.650
 13  Fe     0.750345   0.747563  -0.00208   2.672
 14  Fe     0.251754   0.244249   0.500648   2.671
 15  Fe     0.749798   0.246412   0.498879   2.612
 16  Fe     0.745795   0.755094   0.500832   2.638
 17  Ni     0.004853   0.493217   0.006318   0.648
 18  Ni     0.497683   0.004012   0.493038   0.527
 19  Ni     0.001691   0.233996   0.253611   0.677
 20  Ni     0.50088    0.25593    0.743692   0.564
 21  Ni     0.243157   0.004041   0.238748   0.566
 22  Ni     0.262509   0.506169   0.272955   0.399
 23  Ni     0.7419     0.503191   0.262006   0.536
 24  Co     0.49669    0.503684  -0.009066   1.653
 25  Co     0.501358   0.747958   0.242981   1.481
 26  Co    -0.003326   0.743765   0.747376   1.622
 27  Co     0.502125   0.750102   0.747871   1.410
 28  Co     0.753948  -0.000529   0.245544   1.683
 29  Co     0.252026   0.006597   0.765061   1.623
 30  Co     0.247739   0.261618  -0.001543   1.745
 31  Co     0.247189   0.741973  -0.006844   1.727",54.801,365.4602645,0.149950638
